time_ms,voltage_mv
4972.88,-60.2701
5016.21,-60.268
5059.55,-60.266
5070.38,-60.2653
5081.21,-60.2649
5092.05,-60.2643
5102.88,-60.2635
5113.71,-60.2633
5124.55,-60.2629
5135.38,-60.2623
5146.21,-60.2622
5157.05,-60.2614
5167.88,-60.2601
5178.71,-60.26
5189.55,-60.2586
5200.38,-60.2579
5211.21,-60.26
5213.92,-60.2592
5216.63,-60.259
5219.34,-60.2594
5222.04,-60.2584
5224.75,-60.2578
5227.46,-60.2589
5230.17,-60.2582
5232.88,-60.2569
5235.59,-60.2585
5238.29,-60.2582
5241,-60.2558
5243.71,-60.2578
5246.42,-60.2586
5249.13,-60.2576
5251.84,-60.2584
5254.54,-60.2589
5257.25,-60.256
5259.96,-60.2573
5262.67,-60.2584
5265.38,-60.2572
5268.09,-60.2572
5270.79,-60.2569
5274.92,-60.2549
5279.04,-60.2567
5283.16,-60.2563
5287.29,-60.2556
5291.41,-60.2563
5295.53,-60.2556
5299.66,-60.2536
5303.78,-60.2559
5307.9,-60.2554
5312.03,-60.2547
5316.15,-60.2556
5320.27,-60.2553
5324.4,-60.2528
5328.52,-60.2551
5332.64,-60.2548
5336.77,-60.2539
5340.89,-60.2548
5345.01,-60.2548
5349.14,-60.2518
5353.26,-60.2541
5357.38,-60.2536
5361.51,-60.2524
5365.63,-60.2535
5369.75,-60.2529
5373.88,-60.2497
5378,-60.2529
5382.12,-60.2525
5386.25,-60.2509
5390.37,-60.2528
5394.49,-60.2517
5398.62,-60.2514
5402.74,-60.2509
5406.86,-60.2507
5413.85,-60.2505
5420.84,-60.2495
5427.83,-60.2494
5434.82,-60.2498
5441.81,-60.249
5448.8,-60.249
5455.79,-60.2494
5462.78,-60.2471
5469.77,-60.2477
5476.76,-60.2474
5483.75,-60.2459
5490.74,-60.2468
5497.73,-60.2475
5504.72,-60.2467
5511.71,-60.2462
5518.7,-60.2452
5525.69,-60.2455
5532.68,-60.2455
5539.67,-60.244
5546.66,-60.2452
5553.65,-60.2448
5560.64,-60.2437
5567.63,-60.244
5574.62,-60.2433
5581.61,-60.2438
5588.59,-60.2441
5595.58,-60.2417
5602.57,-60.2431
5609.56,-60.2427
5616.55,-60.2424
5623.54,-60.2418
5630.53,-60.2415
5637.52,-60.2418
5644.51,-60.2412
5651.5,-60.2404
5658.49,-60.2404
5665.48,-60.2393
5672.47,-60.2391
5679.46,-60.2408
5686.45,-60.2385
5693.44,-60.2387
5700.43,-60.2386
5703.21,-60.2386
5705.98,-60.2386
5713.31,-60.2383
5720.64,-60.2383
5732.66,-60.2379
5744.67,-60.2376
5756.69,-60.2372
5768.71,-60.2368
5780.73,-60.2364
5800.32,-60.2358
5819.92,-60.2351
5839.51,-60.2345
5880.88,-60.2332
5922.26,-60.2319
6005.34,-60.2294
6088.43,-60.2271
6171.51,-60.2248
6203.05,-60.224
6234.59,-60.2232
6282.1,-60.222
6329.62,-60.2208
6377.13,-60.2196
6424.65,-60.2185
6472.16,-60.2174
6519.68,-60.2164
6567.19,-60.2154
6614.71,-60.2144
6662.22,-60.2133
6709.73,-60.2124
6757.25,-60.2114
6804.76,-60.2105
6852.28,-60.2097
6899.79,-60.2087
6911.67,-60.2086
6923.55,-60.2084
6942.05,-60.2081
6960.56,-60.2079
6979.06,-60.2076
6997.56,-60.207
7016.06,-60.2068
7034.56,-60.2062
7053.06,-60.2059
