time_ms,current_nA
13956.7851158,0.434442641675
13956.8222141,0.434455997058
13956.8593123,0.434469352441
13956.8964106,0.434482707824
13956.9335089,0.434496063206
13956.9706072,0.434509418589
13957.0077055,0.434522773972
13957.0448038,0.434536129355
13957.081902,0.434549484738
13957.1190003,0.43456284012
13957.179198,0.434584511269
13957.2393956,0.434606182418
13957.2995932,0.434627853567
13957.3597909,0.434649524715
13957.4199885,0.434671195864
13957.4801861,0.434692867013
13957.5705402,0.434725394473
13957.6608943,0.434757921932
13957.7512483,0.434790449392
13957.8416024,0.434822976852
13957.9319564,0.434855504312
13958.0223105,0.434888031771
13958.1126645,0.434920559231
13958.2030186,0.434953086691
13958.2933726,0.434985614151
13958.3837267,0.435018141611
13958.4740808,0.43505066907
13958.6112999,0.435100067975
13958.7485191,0.435149466881
13958.8857383,0.435198865786
13959.0229575,0.435248264691
13959.1601767,0.435297663596
13959.2973958,0.435347062501
13959.434615,0.435396461406
13959.5718342,0.435445860312
13959.7857725,0.435522878098
13959.9997108,0.435599895884
13960.2136491,0.435676913671
13960.4275874,0.435753931457
13960.6415257,0.435830949243
13960.855464,0.43590796703
13961.0694023,0.435984984816
13961.2833406,0.436062002602
13961.4972789,0.436139020389
13961.7112172,0.436216038175
13961.9251554,0.436293055961
13962.1390937,0.436370073748
13962.353032,0.436447091534
13962.5669703,0.43652410932
13962.7809086,0.436601127107
13962.9948469,0.436678144893
13963.2087852,0.436755162679
13963.4227235,0.436832180466
13963.6366618,0.436909198252
13963.8506001,0.436986216038
13964.0645384,0.437063233825
13964.2784767,0.437140251611
13964.492415,0.437217269397
13964.7063533,0.437294287184
13964.9202916,0.43737130497
13965.1342299,0.437448322756
13965.3481682,0.437525340543
13965.5621065,0.437602358329
13965.7760448,0.437679376115
13965.9899831,0.437756393902
13966.2039214,0.437833411688
13966.4178597,0.437910429474
13966.6317979,0.43798744726
13966.8457362,0.438064465047
13967.0596745,0.438141482833
13967.2736128,0.438218500619
13967.4875511,0.438295518406
13967.7014894,0.438372536192
13967.9154277,0.438449553978
