time_ms,current_nA
1268.62,0.09
1272.33,0.09
1276.04,0.09
1279.74,0.09
1283.45,0.09
1287.16,0.09
1290.87,0.09
1294.57,0.09
1298.28,0.09
1301.99,0.09
1305.69,0.09
1309.4,0.09
1313.11,0.09
1316.81,0.09
1320.52,0.09
1324.23,0.09
1327.93,0.09
1331.64,0.09
1335.35,0.09
1339.05,0.09
1342.76,0.09
1346.47,0.09
1350.18,0.09
1353.88,0.09
1357.59,0.09
1361.3,0.09
1365,0.09
1368.71,0.09
1372.42,0.09
1376.12,0.09
1379.83,0.09
1383.54,0.09
1387.24,0.09
1390.95,0.09
1394.66,0.09
1398.36,0.09
1402.07,0.09
1405.78,0.09
1409.49,0.09
1413.19,0.09
1416.9,0.09
1420.61,0.09
1424.31,0.09
1428.02,0.09
1431.73,0.09
1435.43,0.09
1439.14,0.09
1442.85,0.09
1446.55,0.09
1450.26,0.09
1453.97,0.09
1457.67,0.09
1461.38,0.09
1465.09,0.09
1468.8,0.09
1472.5,0.09
1476.21,0.09
1479.92,0.09
1483.62,0.09
1487.33,0.09
1491.04,0.09
1494.74,0.09
1498.45,0.09
1502.16,0.09
1505.86,0.09
1509.57,0.09
1511.49,0.09
1513.41,0.09
1515.33,0.09
1517.25,0.09
1519.17,0.09
1521.1,0.09
1523.02,0.09
1524.94,0.09
1526.86,0.09
1528.78,0.09
1530.7,0.09
1532.62,0.09
1534.54,0.09
1536.46,0.09
1538.38,0.09
1540.3,0.09
1542.22,0.09
1544.15,0.09
1546.07,0.09
1547.99,0.09
1549.91,0.09
1551.83,0.09
1553.75,0.09
1555.67,0.09
1557.59,0.09
1559.51,0.09
1561.43,0.09
1563.35,0.09
1565.27,0.09
1567.2,0.09
1569.12,0.09
1571.04,0.09
1572.96,0.09
1574.88,0.09
1577.78,0.09
1580.68,0.09
1583.57,0.09
1586.47,0.09
1589.37,0.09
1592.27,0.09
1595.17,0.09
1598.07,0.09
1600.97,0.09
1603.87,0.09
1606.76,0.09
1609.66,0.09
1612.56,0.09
1615.46,0.09
1618.36,0.09
1621.26,0.09
1624.16,0.09
1627.05,0.09
1629.95,0.09
1632.85,0.09
1635.75,0.09
1638.65,0.09
1641.55,0.09
1644.45,0.09
1647.35,0.09
1650.24,0.09
1653.14,0.09
1656.04,0.09
1658.94,0.09
1661.84,0.09
1664.74,0.09
1667.64,0.09
1670.53,0.09
1673.43,0.09
1676.33,0.09
1679.23,0.09
1682.13,0.09
1685.03,0.09
1687.93,0.09
1690.82,0.09
1693.72,0.09
1696.62,0.09
1699.52,0.09
1702.42,0.09
1705.32,0.09
1708.22,0.09
1711.12,0.09
1714.01,0.09
1716.91,0.09
1719.81,0.09
1722.71,0.09
1725.61,0.09
1728.51,0.09
1731.41,0.09
1734.3,0.09
1737.2,0.09
1740.1,0.09
1743,0.09
1745.9,0.09
1748.8,0.09
1751.7,0.09
1754.6,0.09
1757.49,0.09
1760.39,0.09
1763.29,0.09
1766.19,0.09
1769.09,0.09
1771.99,0.09
1774.89,0.09
1777.78,0.09
1780.68,0.09
1783.58,0.09
1786.48,0.09
1789.38,0.09
1792.28,0.09
1795.18,0.09
1798.08,0.09
1800.97,0.09
1803.87,0.09
1806.77,0.09
1809.67,0.09
1812.57,0.09
1815.47,0.09
1818.37,0.09
1821.26,0.09
1824.16,0.09
1827.06,0.09
1829.96,0.09
1832.86,0.09
1835.76,0.09
1838.66,0.09
1841.55,0.09
1844.45,0.09
1847.35,0.09
1850.25,0.09
1853.15,0.09
1856.05,0.09
1858.95,0.09
1861.85,0.09
1864.74,0.09
1867.64,0.09
1870.54,0.09
1873.44,0.09
1876.34,0.09
1879.24,0.09
1882.14,0.09
1885.03,0.09
1887.93,0.09
1890.83,0.09
1893.73,0.09
1896.63,0.09
1899.53,0.09
1902.43,0.09
1905.33,0.09
1908.22,0.09
1911.12,0.09
1914.02,0.09
1916.92,0.09
1919.82,0.09
1922.72,0.09
1925.62,0.09
1928.51,0.09
1931.41,0.09
1934.31,0.09
1937.21,0.09
1940.11,0.09
1943.01,0.09
1945.91,0.09
1948.81,0.09
1951.7,0.09
1954.6,0.09
1957.5,0.09
1960.4,0.09
1963.3,0.09
1966.2,0.09
1969.1,0.09
1971.99,0.09
1974.89,0.09
1977.79,0.09
1980.69,0.09
1983.59,0.09
1986.49,0.09
1989.39,0.09
1992.29,0.09
1995.18,0.09
1998.08,0.09
2000.98,0.09
2003.88,0.09
2006.78,0.09
2009.68,0.09
2012.58,0.09
2015.47,0.09
2018.37,0.09
2021.27,0.09
2024.17,0.09
2027.07,0.09
2029.97,0.09
2032.87,0.09
2035.76,0.09
2038.66,0.09
2039.39,0.09
2040.11,0.09
2040.84,0.09
2041.98,0.09
2043.13,0.09
2045.33,0.09
2047.54,0.09
2049.74,0.09
2051.94,0.09
2054.14,0.09
2056.35,0.09
2058.55,0.09
2060.75,0.09
2064.63,0.09
2068.5,0.09
2072.38,0.09
2076.25,0.09
2080.13,0.09
2084,0.09
2093.26,0.09
2102.52,0.09
2120.49,0.09
2138.46,0.09
2156.43,0.09
2174.4,0.09
2192.37,0.09
2210.34,0.09
2228.31,0.09
2246.27,0.09
2264.24,0.09
2268.73,0.09
2273.23,0.09
2277.72,0.09
2284.72,0.09
2291.72,0.09
2298.72,0.09
2305.72,0.09
2312.72,0.09
2319.72,0.09
2332.57,0.09
2345.42,0.09
2369.33,0.09
2393.23,0.09
2417.13,0.09
2454.73,0.09
2492.33,0.09
2529.92,0.09
2567.52,0.09
2605.12,0.09
2642.72,0.09
2680.31,0.09
2717.91,0.09
2755.51,0.09
2793.11,0.09
2830.71,0.09
2868.3,0.09
2877.7,0.09
2887.1,0.09
2896.5,0.09
2905.9,0.09
2915.3,0.09
2924.7,0.09
2934.1,0.09
2943.5,0.09
2952.9,0.09
2962.3,0.09
2971.7,0.09
2981.1,0.09
2990.5,0.09
2999.89,0.09
3009.29,0.09
3018.69,0.09
3028.09,0.09
3037.49,0.09
3046.89,0.09
3056.29,0.09
3058.64,0.09
3060.99,0.09
3064.86,0.09
3068.72,0.09
3074.55,0.09
3080.38,0.09
3082.78,0.09
3085.18,0.09
3087.58,0.09
3091.75,0.09
3095.92,0.09
3100.09,0.09
3104.26,0.09
3108.43,0.09
3115.02,0.09
3121.61,0.09
3128.2,0.09
3138.95,0.09
3149.69,0.09
3160.43,0.09
3179.09,0.09
3208.66,0.09
3216.05,0.09
3223.44,0.09
3230.83,0.09
3238.22,0.09
3245.61,0.09
3253,0.09
3265.42,0.09
3277.84,0.09
3290.25,0.09
3302.67,0.09
3315.08,0.09
3327.5,0.09
3339.92,0.09
3352.33,0.09
3364.75,0.09
3377.16,0.09
