time_ms,voltage_mv,current_nA
13835.7937555,-1.05493213257,0.390885751977
13835.8047406,0.66215092184,0.390889706598
13835.8157256,2.21248663768,0.390893661219
13835.8267107,3.61362279602,0.39089761584
13835.8376957,4.87744728205,0.390901570461
13835.8486808,6.01440429746,0.390905525083
13835.8596658,7.03614356362,0.390909479704
13835.8763853,8.39684528983,0.390915498693
13835.8931047,9.55282658138,0.390921517682
13835.9098241,10.5330821584,0.390927536671
13835.9265435,11.3569534841,0.39093355566
13835.9432629,12.0437257905,0.390939574649
13835.9599823,12.6080786324,0.390945593639
13835.9767017,13.064292662,0.390951612628
13835.9934212,13.4239509026,0.390957631617
13836.0101406,13.6967808562,0.390963650606
13836.02686,13.890928026,0.390969669595
13836.0435794,14.0131945692,0.390975688585
13836.0602988,14.0694677606,0.390981707574
13836.0770182,14.0650108994,0.390987726563
13836.0937376,14.0046183284,0.390993745552
13836.1104571,13.8927342042,0.390999764541
13836.1271765,13.7335421391,0.39100578353
13836.1438959,13.5310044521,0.39101180252
13836.1606153,13.2888657036,0.391017821509
13836.1773347,13.0106564743,0.391023840498
13836.2024274,12.5325647598,0.391032873872
13836.2275201,11.9912042233,0.391041907247
13836.2526128,11.3959193075,0.391050940621
13836.2777055,10.7552556396,0.391059973995
13836.3027982,10.0764658523,0.391069007369
13836.327891,9.3660222091,0.391078040744
13836.3529837,8.62978573656,0.391087074118
13836.3780764,7.87303897853,0.391096107492
13836.4031691,7.10051526103,0.391105140866
13836.4282618,6.31639431348,0.391114174241
13836.4533545,5.52434047863,0.391123207615
13836.4784472,4.72759039807,0.391132240989
13836.5035399,3.92903381044,0.391141274363
13836.5286326,3.13125359438,0.391150307738
13836.5537253,2.33652697454,0.391159341112
13836.578818,1.54680897793,0.391168374486
13836.6039107,0.763719576564,0.39117740786
13836.6290034,-0.0114547109499,0.391186441235
13836.6540961,-0.777743743853,0.391195474609
13836.6791888,-1.53446444477,0.391204507983
13836.7211206,-2.77678991972,0.391219603405
13836.7630523,-3.99046325353,0.391234698827
13836.804984,-5.17579188713,0.391249794249
13836.8469158,-6.33358176503,0.391264889672
13836.8888475,-7.46546937043,0.391279985094
13836.9307792,-8.57300426983,0.391295080516
13836.9727109,-9.65800578433,0.391310175938
13837.0146427,-10.7223206944,0.39132527136
13837.034467,-11.2187287197,0.391332408123
13837.0542914,-11.711013071,0.391339544886
13837.0741157,-12.1993472022,0.391346681649
13837.09394,-12.6838779959,0.391353818412
13837.1137644,-13.1647403671,0.391360955176
13837.1335887,-13.6420606462,0.391368091939
13837.1534131,-14.1159558432,0.391375228702
13837.1732374,-14.5865335383,0.391382365465
13837.1930617,-15.0538919928,0.391389502228
13837.2128861,-15.5181205346,0.391396638991
13837.2327104,-15.9793006115,0.391403775754
13837.2525348,-16.4375073733,0.391410912517
13837.286897,-17.2248961408,0.391423282923
13837.3212592,-18.0039155639,0.391435653328
13837.3556215,-18.7749089702,0.391448023733
13837.3899837,-19.5382256315,0.391460394139
13837.424346,-20.2942269257,0.391472764544
13837.476689,-21.4326092667,0.391491608055
13837.5290321,-22.5561107734,0.391510451567
13837.5813752,-23.6657010753,0.391529295078
13837.661575,-25.3407534639,0.391558166994
13837.7417748,-26.9886886944,0.39158703891
13837.8219745,-28.6135739814,0.391615910827
13837.9021743,-30.2255863932,0.391644782743
13837.9823741,-31.8415917046,0.391673654659
13838.0625738,-33.4899871882,0.391702526575
13838.1427736,-35.204890315,0.391731398491
13838.2229734,-37.0296877067,0.391760270408
13838.3031731,-38.9696422069,0.391789142324
13838.3833729,-40.9823833992,0.39181801424
13838.4635727,-42.8666938433,0.391846886156
13838.5437724,-44.5514967169,0.391875758072
13838.6239722,-46.0539949718,0.391904629989
13838.6440221,-46.4405112481,0.391911847968
13838.6490346,-46.5445327367,0.391913652462
13838.6540471,-46.6493150909,0.391915456957
13838.6590596,-46.7552885407,0.391917261452
13838.6669372,-46.9260936584,0.391920097402
13838.6748149,-47.1046734651,0.391922933352
13838.6826925,-47.2944134217,0.391925769302
13838.6905701,-47.4998655775,0.391928605252
13838.6984478,-47.7268753425,0.391931441202
13838.7029173,-47.8676744055,0.391933050212
13838.7073867,-48.0185764241,0.391934659222
13838.7118562,-48.1803690496,0.391936268233
13838.7163257,-48.3530827009,0.391937877243
13838.7207951,-48.5358312987,0.391939486253
13838.7252646,-48.7269484377,0.391941095264
13838.7297341,-48.9244523241,0.391942704274
13838.7342036,-49.1264618486,0.391944313284
13838.738673,-49.331401472,0.391945922294
13838.7431425,-49.5380300338,0.391947531305
13838.747612,-49.745409644,0.391949140315
13838.7520815,-49.9528787374,0.391950749325
13838.7565509,-50.1600340577,0.391952358335
13838.7610204,-50.3667055076,0.391953967346
13838.7654899,-50.5729063749,0.391955576356
13838.7699594,-50.7787411309,0.391957185366
13838.7744288,-50.9842672945,0.391958794377
13838.7788983,-51.1893576621,0.391960403387
13838.7833678,-51.3936531277,0.391962012397
13838.7878372,-51.5966498617,0.391963621407
13838.7923067,-51.7978652561,0.391965230418
13838.7967762,-51.9969242378,0.391966839428
13838.8012457,-52.1935552087,0.391968448438
13838.8057151,-52.3875410962,0.391970057449
13838.8101846,-52.5786714063,0.391971666459
13838.8146541,-52.7667274437,0.391973275469
13838.8191236,-52.9514964927,0.391974884479
13838.823593,-53.1327927239,0.39197649349
13838.8308162,-53.4181136055,0.391979093847
13838.8380395,-53.6935722279,0.391981694205
13838.8493933,-54.1060776117,0.391985781598
13838.8607472,-54.493199192,0.391989868992
13838.8721011,-54.8552607317,0.391993956386
13838.8834549,-55.1931212779,0.391998043779
13838.8948088,-55.5079767924,0.392002131173
13838.9061627,-55.8012851081,0.392006218566
13838.9175166,-56.0746906003,0.39201030596
13838.9288704,-56.3299122599,0.392014393354
13838.9402243,-56.568633922,0.392018480747
13838.9598916,-56.9476065348,0.39202556097
13838.9795589,-57.2889137598,0.392032641192
13838.9992262,-57.5985780289,0.392039721414
13839.0188934,-57.88132904,0.392046801637
13839.0385607,-58.1408772788,0.392053881859
13839.058228,-58.3802453606,0.392060962082
13839.0778953,-58.6019440453,0.392068042304
13839.126087,-59.0828631382,0.392085391327
13839.1742788,-59.4917805384,0.39210274035
13839.2224705,-59.8424839729,0.392120089373
13839.2706622,-60.1450936577,0.392137438396
13839.3188539,-60.4080233312,0.39215478742
13839.3670457,-60.637923411,0.392172136443
13839.4152374,-60.8397113391,0.392189485466
13839.4634291,-61.0171739182,0.392206834489
13839.5369168,-61.2479349904,0.392233290061
13839.6527182,-61.5328929506,0.392274978538
13839.7685195,-61.7461929105,0.392316667015
13839.8843208,-61.9081540404,0.392358355492
13840.0001221,-62.0326013497,0.392400043969
13840.1159235,-62.1291357523,0.392441732446
13840.2317248,-62.2048512829,0.392483420923
13840.3475261,-62.2649112855,0.3925251094
13840.4633274,-62.3130291036,0.392566797877
13840.5791288,-62.3518458945,0.392608486354
13840.6949301,-62.3832242476,0.392650174831
13840.8690796,-62.4189128977,0.392712868666
13841.0432292,-62.4437076319,0.3927755625
13841.2173787,-62.4595695908,0.392838256335
13841.3915282,-62.4678339131,0.392900950169
13841.5656778,-62.469508887,0.392963644004
13841.7398273,-62.4653922645,0.393026337838
13841.9139769,-62.4561754164,0.393089031673
13842.1958972,-62.4320118376,0.393190522997
13842.4778176,-62.3983588682,0.393292014321
13842.7597379,-62.3572827268,0.393393505645
13843.0416582,-62.3104110441,0.393494996969
13843.3235786,-62.2587982302,0.393596488293
13843.6054989,-62.2031014326,0.393697979617
13843.8874193,-62.1438037898,0.393799470941
13844.1693396,-62.0813022096,0.393900962265
13844.6699943,-61.9633985841,0.39408119796
13845.170649,-61.8377584883,0.394261433654
13845.6713037,-61.7053221029,0.394441669349
13846.1719585,-61.5669203946,0.394621905043
13846.6726132,-61.4234734328,0.394802140738
13847.1732679,-61.275972974,0.394982376432
13847.6739226,-61.1253618719,0.395162612127
13848.4803374,-60.8782838798,0.395452921452
13849.2867522,-60.6281931209,0.395743230777
13850.0931669,-60.3770152716,0.396033540102
13850.8995817,-60.1266353796,0.396323849427
13851.7059965,-59.8782469198,0.396614158752
13852.5124113,-59.632356182,0.396904468077
13853.3188261,-59.38940141,0.397194777402
13854.1252409,-59.1497848239,0.397485086727
13855.3620367,-58.788295453,0.397930333201
13856.5988324,-58.432256217,0.398375579675
13857.2080263,-58.2565403612,0.39859488947
13857.3603248,-58.211846433,0.398649716919
13857.5126232,-58.1662595464,0.398704544368
13857.6649217,-58.1194320122,0.398759371817
13857.8172202,-58.0708392669,0.398814199265
13857.9695187,-58.0196688947,0.398869026714
13858.0629085,-57.9864461923,0.398902647052
13858.1562983,-57.9509370893,0.39893626739
13858.1796458,-57.9415887043,0.398944672475
13858.2029932,-57.9319871773,0.398953077559
13858.2263407,-57.922088116,0.398961482644
13858.2496881,-57.9118355234,0.398969887728
13858.2730356,-57.9011546976,0.398978292813
13858.2788725,-57.8984079342,0.398980394084
13858.2847093,-57.8956266121,0.398982495355
13858.2937848,-57.8912280236,0.39898576252
13858.3028602,-57.8867309466,0.398989029685
13858.3051291,-57.885590138,0.398989846476
13858.307398,-57.8844423239,0.398990663268
13858.3096668,-57.8832872977,0.398991480059
13858.3119357,-57.882124846,0.39899229685
13858.3142046,-57.8809547456,0.398993113641
13858.3164734,-57.8797767615,0.398993930433
13858.3187423,-57.8785906454,0.398994747224
13858.3210112,-57.8773961345,0.398995564015
13858.3223267,-57.8766995966,0.398996037596
13858.3236422,-57.8760000867,0.398996511178
13858.3249577,-57.8752975456,0.398996984759
13858.3262732,-57.8745919119,0.39899745834
13858.3275887,-57.8738831219,0.398997931921
13858.3289042,-57.8731711095,0.398998405502
13858.3302197,-57.8724558058,0.398998879083
13858.3315352,-57.8717371391,0.398999352664
13858.3328507,-57.8710150342,0.398999826246
13858.3341662,-57.870289413,0.399000299827
13858.3354817,-57.8695601932,0.399000773408
13858.3367972,-57.8688272886,0.399001246989
13858.3381127,-57.8680906083,0.39900172057
13858.3394282,-57.8673500564,0.399002194151
13858.3407437,-57.8666055313,0.399002667733
13858.3420592,-57.8658569246,0.399003141314
13858.3433747,-57.8651041206,0.399003614895
13858.3446902,-57.8643469946,0.399004088476
13858.3460057,-57.8635854116,0.399004562057
13858.3473212,-57.8628192244,0.399005035638
13858.3486367,-57.8620482709,0.39900550922
13858.3499522,-57.8612723717,0.399005982801
13858.3512677,-57.8604913261,0.399006456382
13858.3525832,-57.8597049079,0.399006929963
13858.3538987,-57.8589128597,0.399007403544
13858.3552142,-57.8581148866,0.399007877125
13858.3565297,-57.8573106484,0.399008350707
13858.3578452,-57.8564997499,0.399008824288
13858.3591607,-57.8556817298,0.399009297869
13858.3604763,-57.8548560474,0.39900977145
13858.3617918,-57.8540220666,0.399010245031
13858.3631073,-57.8531790368,0.399010718612
13858.3644228,-57.8523260716,0.399011192194
13858.3657383,-57.8514621228,0.399011665775
13858.3670538,-57.8505859509,0.399012139356
13858.3683693,-57.8496960914,0.399012612937
13858.3696848,-57.8487908152,0.399013086518
13858.3710003,-57.8478680829,0.399013560099
13858.3723158,-57.8469254921,0.39901403368
13858.3736313,-57.8459602152,0.399014507262
13858.3749468,-57.8449689289,0.399014980843
13858.3762623,-57.8439477334,0.399015454424
13858.3775778,-57.8428920629,0.399015928005
13858.3788933,-57.8417965857,0.399016401586
13858.3802088,-57.8406550929,0.399016875167
13858.3815243,-57.8394603717,0.399017348749
13858.3828398,-57.8382040566,0.39901782233
13858.3841553,-57.8368764528,0.399018295911
13858.3854708,-57.8354663286,0.399018769492
13858.3867863,-57.8339606771,0.399019243073
13858.3881018,-57.8323444569,0.399019716654
13858.3894173,-57.8306003204,0.399020190236
13858.3907328,-57.828708339,0.399020663817
13858.3920483,-57.8266457162,0.399021137398
13858.3933638,-57.8243864616,0.399021610979
13858.3946793,-57.8219009716,0.39902208456
13858.3959948,-57.8191554669,0.399022558141
13858.3973103,-57.8161112685,0.399023031723
13858.3986258,-57.8127239514,0.399023505304
13858.4006489,-57.8067238524,0.399024233619
13858.402672,-57.7995690562,0.399024961935
13858.4046951,-57.7909959948,0.39902569025
13858.4067182,-57.780689101,0.399026418565
13858.4087413,-57.7682712309,0.399027146881
13858.4107644,-57.7532831267,0.399027875196
13858.4127875,-57.7351553342,0.399028603512
13858.4148106,-57.7131889028,0.399029331827
13858.4168337,-57.6865594059,0.399030060143
13858.4188568,-57.6543388646,0.399030788458
13858.4208799,-57.6154917575,0.399031516774
13858.422903,-57.5687743387,0.399032245089
13858.4249261,-57.5125517389,0.399032973404
13858.4269492,-57.4446999309,0.39903370172
13858.4289723,-57.3627370196,0.399034430035
13858.4309954,-57.2641615405,0.399035158351
13858.4330185,-57.1468885996,0.399035886666
13858.4350416,-57.0096289235,0.399036614982
13858.4370647,-56.851890537,0.399037343297
13858.4390878,-56.6731298471,0.399038071612
13858.4411109,-56.471159574,0.399038799928
13858.443134,-56.2401290381,0.399039528243
13858.4451571,-55.9706289883,0.399040256559
13858.4471802,-55.6530147869,0.399040984874
13858.4492033,-55.2808109435,0.39904171319
13858.4512264,-54.8526750048,0.399042441505
13858.4532495,-54.373268158,0.399043169821
13858.4552726,-53.852755633,0.399043898136
13858.4572957,-53.304474577,0.399044626451
13858.4593188,-52.7417297891,0.399045354767
13858.4613419,-52.1754922447,0.399046083082
13858.463365,-51.6137913566,0.399046811398
13858.4653881,-51.0621818283,0.399047539713
13858.4674112,-50.524327915,0.399048268029
13858.470967,-49.6183673478,0.399049548114
13858.4745228,-48.7642021735,0.399050828198
13858.4780786,-47.9581177706,0.399052108283
13858.4816344,-47.1950087616,0.399053388368
13858.4851901,-46.4706589622,0.399054668453
13858.4887459,-45.7814548371,0.399055948538
13858.4923017,-45.123696673,0.399057228623
13858.4984065,-44.0568347357,0.399059426339
13858.5099437,-42.1986113821,0.399063579739
13858.5168689,-41.1371960716,0.399066072801
13858.5237941,-40.0754720989,0.399068565864
13858.5307192,-38.9754867981,0.399071058926
13858.5376444,-37.7950790834,0.399073551988
13858.5445696,-36.4914072715,0.39907604505
13858.5550587,-34.1996237267,0.399079821135
13858.5655478,-31.5042591609,0.39908359722
13858.576037,-28.4598988955,0.399087373305
13858.5865261,-25.2326318182,0.39909114939
13858.5970152,-21.9613913586,0.399094925475
13858.6075043,-18.7408251108,0.39909870156
13858.6179935,-15.6442271337,0.399102477645
13858.6284826,-12.7320008325,0.39910625373
13858.6389717,-10.0394218624,0.399110029815
13858.6494608,-7.57519155579,0.3991138059
13858.65995,-5.3314379654,0.399117581985
13858.6704391,-3.29349516664,0.39912135807
13858.6809282,-1.44494930814,0.399125134155
13858.6914173,0.230481049319,0.39912891024
13858.7019065,1.74821931784,0.399132686325
13858.7123956,3.12251527883,0.39913646241
13858.7228847,4.3664078349,0.399140238495
13858.7333738,5.49183009835,0.39914401458
13858.7493254,7.00101655772,0.39914975716
13858.7652771,8.29404561506,0.399155499741
13858.7812287,9.40000624556,0.399161242322
13858.7971803,10.3428179319,0.399166984903
13858.8131319,11.1422306378,0.399172727484
13858.8290835,11.8146132499,0.399178470065
13858.8450351,12.3734284576,0.399184212646
13858.8609867,12.830528218,0.399189955227
13858.8769384,13.196828975,0.399195697808
13858.89289,13.4817674975,0.399201440389
13858.9088416,13.6928207787,0.39920718297
13858.9247932,13.835972804,0.399212925551
13858.9407448,13.9165377811,0.399218668132
13858.9566964,13.9394632351,0.399224410713
13858.972648,13.9091760858,0.399230153294
13858.9885997,13.8295893912,0.399235895875
13859.0045513,13.704404594,0.399241638456
13859.0205029,13.5373060444,0.399247381036
13859.0364545,13.3318415077,0.399253123617
13859.0524061,13.0912421904,0.399258866198
13859.0683577,12.8184473932,0.399264608779
13859.0843093,12.5162635541,0.39927035136
13859.1002609,12.1874367638,0.399276093941
13859.1242061,11.6494486763,0.399284714212
13859.1481513,11.0651903894,0.399293334483
13859.1720965,10.4415759287,0.399301954754
13859.1960417,9.78468536921,0.399310575025
13859.2199869,9.09998380367,0.399319195296
13859.2439321,8.39251755831,0.399327815566
13859.2678773,7.66691396702,0.399336435837
13859.2918225,6.92732161562,0.399345056108
13859.3157677,6.17736838833,0.399353676379
13859.3397129,5.42018673724,0.39936229665
13859.3636581,4.65852408558,0.399370916921
13859.3876033,3.89486419051,0.399379537192
13859.4115485,3.13148526535,0.399388157463
13859.4354937,2.37044925235,0.399396777733
13859.4594389,1.61355895317,0.399405398004
13859.4833841,0.862322545767,0.399414018275
13859.5073293,0.117946685803,0.399422638546
13859.5312745,-0.618642284423,0.399431258817
13859.5552197,-1.34676227348,0.399439879088
13859.5791649,-2.0659392158,0.399448499359
13859.6031101,-2.77587763752,0.39945711963
13859.6270553,-3.47643801525,0.399465739901
13859.6510005,-4.16760820114,0.399474360171
13859.6749457,-4.84947816399,0.399482980442
13859.6988909,-5.52221315148,0.399491600713
13859.7228361,-6.18603203167,0.399500220984
13859.7467813,-6.84119326518,0.399508841255
13859.7707265,-7.48798482083,0.399517461526
13859.7946717,-8.12671546019,0.399526081797
13859.8186169,-8.75770634053,0.399534702068
13859.8425621,-9.38128292756,0.399543322338
13859.8665072,-9.99776811451,0.399551942609
13859.8904524,-10.6074772529,0.39956056288
13859.9143976,-11.2107149645,0.399569183151
13859.9383428,-11.80777309,0.399577803422
13859.962288,-12.3989290477,0.399586423693
13859.9862332,-12.9844440161,0.399595043964
13860.0101784,-13.5645608207,0.399603664235
13860.0341236,-14.1395021117,0.399612284506
13860.0580688,-14.7094696425,0.399620904776
13860.082014,-15.2746448077,0.399629525047
13860.1059592,-15.8351900824,0.399638145318
13860.1299044,-16.391251383,0.399646765589
13860.1538496,-16.9429614904,0.39965538586
13860.1777948,-17.4904445986,0.399664006131
13860.20174,-18.0338209212,0.399672626402
13860.2405478,-18.9060534971,0.399686597205
13860.2793556,-19.7683330437,0.399700568009
13860.3181634,-20.6211952621,0.399714538812
13860.3569712,-21.4652086539,0.399728509616
13860.4191162,-22.7995071805,0.39975088182
13860.4812612,-24.1140004622,0.399773254024
13860.5434062,-25.4103177273,0.399795626228
13860.6055512,-26.690101327,0.399817998432
13860.6676962,-27.955521102,0.399840370636
13860.7298412,-29.2100956298,0.39986274284
13860.7919862,-30.459809041,0.399885115045
13860.8541312,-31.7139857273,0.399907487249
13860.9525078,-33.7409422185,0.39994290279
13861.0508843,-35.8779684506,0.399978318332
13861.1492608,-38.1791010328,0.400013733873
13861.2476373,-40.6420522844,0.400049149415
13861.3460138,-42.9723902783,0.400084564956
13861.4128754,-44.3699712555,0.40010863515
13861.4797371,-45.6322188699,0.400132705345
13861.4964525,-45.9464252872,0.400138722893
13861.5131679,-46.2690564212,0.400144740442
13861.5298833,-46.5966506781,0.40015075799
13861.5465987,-46.9351407981,0.400156775539
13861.5633141,-47.3001952515,0.400162793087
13861.5740576,-47.5629258607,0.400166660752
13861.5815528,-47.7678024635,0.400169359005
13861.5890479,-47.9967303849,0.400172057259
13861.5965431,-48.2538617098,0.400174755513
13861.6015751,-48.4432282672,0.40017656705
13861.6066072,-48.6453791057,0.400178378587
13861.6116392,-48.8585272582,0.400180190124
13861.6166713,-49.0800290088,0.400182001661
13861.6217033,-49.3071297725,0.400183813198
13861.6267354,-49.5375383403,0.400185624735
13861.6317674,-49.7695089022,0.400187436272
13861.6367995,-50.0017577984,0.400189247809
13861.6418315,-50.2334821751,0.400191059346
13861.6468636,-50.4643791734,0.400192870883
13861.6518956,-50.6945247505,0.40019468242
13861.6569277,-50.9241442139,0.400196493957
13861.6619597,-51.1533563143,0.400198305494
13861.6669918,-51.3819556081,0.400200117031
13861.6720238,-51.6093634131,0.400201928568
13861.6770558,-51.8348362781,0.400203740105
13861.6820879,-52.057767008,0.400205551642
13861.6871199,-52.2777919646,0.400207363179
13861.692152,-52.494648849,0.400209174716
13861.697184,-52.7080085626,0.400210986253
13861.7022161,-52.9174817586,0.40021279779
13861.7072481,-53.1227420046,0.400214609327
13861.7122802,-53.3235860623,0.400216420864
13861.7173122,-53.5198805413,0.400218232401
13861.7223443,-53.711492273,0.400220043938
13861.7273763,-53.8982854609,0.400221855475
13861.735158,-54.1774704375,0.400224656891
13861.7429397,-54.4448217594,0.400227458308
13861.7507215,-54.7004409272,0.400230259724
13861.7630049,-55.0806410307,0.40023468178
13861.7752884,-55.4333537861,0.400239103836
13861.7875719,-55.7601488076,0.400243525892
13861.7998554,-56.0629326831,0.400247947947
13861.8121389,-56.3437747573,0.400252370003
13861.8244224,-56.6047629905,0.400256792059
13861.8367059,-56.8479031144,0.400261214115
13861.8489894,-57.0750494736,0.400265636171
13861.8722169,-57.4664687983,0.400273998083
13861.8954444,-57.8158514723,0.400282359994
13861.918672,-58.1306318825,0.400290721906
13861.9418995,-58.4162733935,0.400299083817
13861.965127,-58.6768718653,0.400307445729
13861.9883546,-58.9157304994,0.40031580764
13862.0115821,-59.1356023023,0.400324169551
13862.0512942,-59.4738138424,0.400338465917
13862.0910063,-59.7715479728,0.400352762283
13862.1307185,-60.0349813221,0.400367058648
13862.1704306,-60.2689908176,0.400381355014
13862.2356588,-60.5995334512,0.400404837186
13862.3008871,-60.8751131761,0.400428319357
13862.3661154,-61.1064584538,0.400451801529
13862.4313436,-61.3015887835,0.4004752837
